AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",General view,1852-56,Photo,"Église Saint-Martial, Angoulême",https://www.wga.hu/html/a/abadie/angoule1.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Exterior view,1858-69,Photo,"Town Hall, Angoulême",https://www.wga.hu/html/a/abadie/angoule2.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",View of the Tour de Lusignan,1858-69,Photo,"Town Hall, Angoulême",https://www.wga.hu/html/a/abadie/angoule3.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",General view,1875-1919,Photo,"Sacré-Coeur, Paris",https://www.wga.hu/html/a/abadie/sacreco1.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Exterior view,1875-1919,Photo,"Sacré-Coeur, Paris",https://www.wga.hu/html/a/abadie/sacreco2.html,architecture,religious,French,1851-1900
"ABADIE, Paul","(b. 1812, Paris, d. 1884, Chatou)",Interior view,1875-1919,Photo,"Sacré-Coeur, Paris",https://www.wga.hu/html/a/abadie/sacreco3.html,architecture,religious,French,1851-1900
"ALENZA Y NIETO, Leonardo","(b. 1807, Madrid, d. 1845, Madrid)",Satire on Romantic Suicide,c. 1839,"Oil on canvas, 35 x 26 cm","Museo Romántico, Madrid",https://www.wga.hu/html/a/alenza/satire1.html,painting,genre,Spanish,1801-1850
"ALENZA Y NIETO, Leonardo","(b. 1807, Madrid, d. 1845, Madrid)",Triumph of David,1842,Oil on canvas,"Museo de la Real Academia de San Fernando, Madrid",https://www.wga.hu/html/a/alenza/triumph.html,painting,religious,Spanish,1801-1850
"ANDRÉ, Émile","(b. 1871, Nancy, d. 1933, Nancy)",Double door,1901,"Mahogany, glass, chased gilded bronze, 198 x 182 x 7 cm","Musée d'Orsay, Paris",https://www.wga.hu/html/a/andre/d_door.html,furniture,other,French,1851-1900
"ANDRÉ, Émile","(b. 1871, Nancy, d. 1933, Nancy)",Villa Les Glycines,1902-04,Photo,"Parc de Saurupt, Nancy",https://www.wga.hu/html/a/andre/glycines.html,architecture,other,French,1851-1900
"ASHBEE, Charles Robert","(b. 1863, Isleworth, d. 1942, Godden Green, Kent)",Cabinet,c. 1905,"Walnut stand, sycamore carcase and cedar drawers, 139 x 107 x 63 cm","Victoria and Albert Museum, London",https://www.wga.hu/html/a/ashbee/cabinet.html,furniture,other,English,1851-1900
"ASHBEE, Charles Robert","(b. 1863, Isleworth, d. 1942, Godden Green, Kent)",Porringer,1925,"Silver, agate","Hessisches Landesmuseum, Darmstadt",https://www.wga.hu/html/a/ashbee/metal1.html,metalwork,other,English,1851-1900
"ASHBEE, Charles Robert","(b. 1863, Isleworth, d. 1942, Godden Green, Kent)",Covered Soup Tureen and Ladle,1890-93,"Electroplated nickel silver and copper, height 39 cm","Victoria and Albert Museum, London",https://www.wga.hu/html/a/ashbee/metal2.html,metalwork,other,English,1851-1900
"BAILLIE SCOTT, Mackay Hugh","(b. 1865, Ramsgate, d. 1945, Brighton)",Exterior view,1898,Photo,"Blackwell, Bowness-on-Windermere, Cumbria",https://www.wga.hu/html/b/baillie/blackwe1.html,architecture,other,English,1851-1900
"BAILLIE SCOTT, Mackay Hugh","(b. 1865, Ramsgate, d. 1945, Brighton)",Interior view,1898,Photo,"Blackwell, Bowness-on-Windermere, Cumbria",https://www.wga.hu/html/b/baillie/blackwe2.html,architecture,interior,English,1851-1900
"BAILLIE SCOTT, Mackay Hugh","(b. 1865, Ramsgate, d. 1945, Brighton)",Exterior view,c. 1900,Photo,"64 Meadway, Hampstead Garden Suburb, London",https://www.wga.hu/html/b/baillie/countryh.html,architecture,other,English,1851-1900
